SubjectArea,Subject,Term,Definition
Science,Science,Habitat,The natural environment of an organism such as a plant or animal.
Science,Science,Hypothesis,A testable statement that can be supported or refuted when tested by investigation and includes a relationship between variables.
Science,Science,Independent variable,A variable that is changed in an investigation to see what effect it has on the dependent variable.
Science,Science,Inference,"An informed guess or logical conclusion based on previous experiences, observations and knowledge."
Science,Science,Informal measurement,"A measurement that is not based on any agreed standard unit (e.g. handspan, pace)."
Science,Science,Insulators,"Materials that inhibit the transfer of heat, sound or electrical energy."
Science,Science,Investigation,"A scientific process of answering a question, exploring an idea or solving a problem using various research methods, which requires activities such as making observations, planning, collecting and interpreting data, and forming a conclusion."
Science,Science,Kinetic theory of matter,"A theory of matter that explains the behaviour of matter in terms of the energy and motion of particles. It helps explain transitions between states of matter (solid, liquid, gas, plasma) and can be summarised as follows: - All particles of matter are in constant motion. - The properties of matter can be understood by studying the energy and motion of the particles of matter."
Science,Science,Law,"A simple and precise statement that has been shown, based on available evidence, to be universally reliable; it describes phenomena that occur with unvarying regularity under the same conditions and can be used to predict what will happen in a given situation as demonstrated by a mathematical equation. Examples of laws include Newton's laws of motion, the Law of Conservation of Mass and the Law of Conservation of Energy."
Science,Science,Law of Conservation of Energy,A law that states that energy cannot be created or destroyed but can be converted from one form of energy to another: this means that any process or isolated [system](https://energyeducation.ca/encyclopedia/System) always has the same amount of [energy](https://energyeducation.ca/encyclopedia/Energy) unless energy is added from the outside.
Science,Science,Law of Conservation of Mass,A law that states that matter and its mass may not be created or destroyed in a closed system but can change forms to other substances.
Science,Science,Logical argument,"An explanation of an opinion supported by sensible, related and ordered evidence."
Science,Science,Mass,The measure for the amount of matter an object contains; the SI unit for mass is the kilogram (kg).
Science,Science,Material,"Something that is made from matter that can be used for a specific purpose or in the creation of objects; materials can be solids, liquids or gases and include a variety of substances, both natural and synthetic. Materials may be pure substances, mixtures or composites and can be investigated for their properties, structure and performance in different applications. Examples of materials are paper, metals, water, oil, oxygen, polymers, soil, ceramics, fibreglass and concrete."
Science,Science,Matter,Anything that has mass and volume.
Science,Science,Mendelian inheritance,An inheritance pattern that follows the laws of segregation and independent assortment in which a gene inherited from either parent segregates into gametes at an equal frequency.
Science,Science,Mixture,"A combination of 2 or more substances in which each retains its individual properties; mixtures can be homogeneous (uniform throughout, for example air or brass) or heterogeneous (not uniform, such as a vegetable soup or granite rock)."
Science,Science,Model (noun),"A representation that describes, simplifies, clarifies or explains the workings, structure or relationships within an object, system or idea; models may assist with explanations, predictions and calculations by providing a means of testing and predicting behaviour within limited conditions."
Science,Science,Natural resource,"A material found in nature and used by people to stay alive or to improve their lives (e.g. light, air, water, plants, animals, soil, stone, minerals and fossil fuels); natural resources may be used 'raw' or may be processed to form other materials/products."
Science,Science,Negative feedback mechanism,"A system's output that causes a reduction or dampening of the process that led to that output; for example, the pancreas of a non-diabetic person will produce insulin in response to high blood sugar levels in the body so that the additional glucose is stored."
Science,Science,Newton's laws of motion,"Isaac Newton's 3 laws of motion describe how forces affect the motion of objects: - First law: An object at rest or in uniform motion will stay that way unless acted upon by a net force. - Second law: The net force on an object is equal to its mass times its acceleration, *F* = *ma*. - Third law: For every action, there is an equal and opposite reaction, meaning that forces always come in pairs."
Science,Science,Non-renewable energy resource,"A resource that is consumed faster than it can be replaced and therefore has a finite supply (e.g. rare minerals typically found in meteorites, and fossil fuels such as coal, petroleum and natural gas)."
Science,Science,Object (noun),"A broad term that refers to a tangible and observable entity that has mass and volume; a term used in everyday (non-scientific) language to describe physical items such as books, hair, rocks and machines."
Science,Science,Observable,"Able to be seen, heard, felt, tasted or smelled either directly by an individual or indirectly by a measuring device (e.g. ruler, camera, thermometer)."
Science,Science,Observation,"The act of seeing, hearing, feeling, tasting or smelling, either directly by an individual or indirectly by a measuring device."
Science,Science,Organism,"A living individual entity, typically composed of one or more cells, with general characteristics including the ability to move, respire, grow, reproduce, excrete, metabolise and be responsive to the environment."
Science,Science,Outlier,A data point that is far from other data points in a set of data.
Science,Science,Particle theory of matter,"A theory that helps explain the structure, behaviour and interactions of the parts that make up matter, and that can be summarised as follows: - All matter is made of tiny particles called atoms. - The particles of matter are constantly in random motion. - The particles of matter have spaces between them. - The particles of matter can be arranged regularly or randomly. - The particles of matter are attracted to each other and are held together by weak or strong forces."
Science,Science,Pattern,A repeated occurrence or sequence.
Science,Science,Phenomenon (plural 'phenomena'),"Something that is observed to occur or to exist; natural phenomena include tides, volcanic eruptions, eclipses, cyclones, biological and chemical processes, weather patterns, lightning, shadows, bee swarms and gravity."
Science,Science,Physical change,"A change in the properties of a substance such as shape, size or state of matter, with no new substances being formed. Physical changes are usually reversible -- that is, the substance can easily be changed back to its original form. Examples include chopping up food, freezing water to form ice, subliming mothballs to form a gas, and mixing oil and water."
Science,Science,Place,"'Place' is significant for Aboriginal and Torres Strait Islander Peoples. For Torres Strait Islander Peoples, 'Place' is a space mapped out that Torres Strait Islander individuals or groups occupy and regard as their own and that has varying degrees of spirituality. It includes lands, waters and sky. For Aboriginal Peoples, 'Place' refers to the special places that exist within Country, the purposes of which vary significantly. They can include places of ceremony and initiation, birth and the provision of healing and health care; places of learning; and places for Sorry Business. These places vary greatly over the various landscapes and seascapes across the continent. There are some parts of Country that have landmarks that directly relate to the ancestor spirits and the creation of existence. These are especially important as culturally significant places and need to be cared for. There are also other places on Country that are important for ceremony, as mentioned above, which are also considered especially important for Aboriginal communities."
Science,Science,Plate tectonic theory,"A theory that explains the global distribution of geological phenomena and refers to the movement and interaction of Earth's lithosphere. This includes the formation, movement, collision and destruction of tectonic plates and the resulting geological events such as seismicity, volcanism, continental drift and mountain-building."
Science,Science,Population (ecology),A group of individuals of the same species that are defined by the geographic area in which they live and interbreed in a common period of time.
Science,Science,Precipitation (chemistry),The formation of an insoluble solid from a solution during a chemical reaction; the solid that forms is called a precipitate.
Science,Science,Precipitation (geology),"The process by which liquid or frozen water in the atmosphere falls to Earth as rain, hail or snow, as part of the water cycle."
Science,Science,Precision,The closeness of 2 or more measurements to each other.
Science,Science,Prediction (science),"An educated expectation about what might happen, based on observations."
Science,Science,Presentation format,"The structure, layout and organisation of scientific information to be communicated, for example as a laboratory report, scientific poster, essay, flow chart, multimodal presentation, oral presentation, demonstration, annotations, science journal paper, literature review, infographic, storyboard, model construction, diorama, dramatisation/role-play, case study, media analysis or pitch presentation."
Science,Science,Producer (biology),"An organism (e.g. plant, algae) that produces its own food or energy, usually using energy from sunlight."
Science,Science,Properties,"The attributes of an object or material that can be sensed, measured or tested and that determine functionality and manufacturability: - Physical properties can be observed or measured without changing the composition of the material (e.g. colour, hardness, density, texture, opacity, smell, melting point, boiling point). - Chemical properties can be determined by observing chemical reactions (e.g. reactivity with acids, combustion point, toxicity). - Mechanical properties influence the material or object's reaction to applied loads and affect the object or material's strength and ability to be moulded into different shapes (e.g. strength, flexibility, elasticity, plasticity, stiffness, thermal and electrical conductivity)."
Science,Science,Qualitative data,"Measures of 'types' that are difficult to measure in a numerical way and that may be represented by a name, symbol or a number code; data about categorical values (e.g. species of fish in a river)."
Science,Science,Quantitative data,"Measures of values or counts that are expressed as numbers; data about numeric variables in an investigation (e.g. how many bird species migrate from Victoria, how much water the local dam holds, how often a blue moon can be seen each year)."
Science,Science,Reflected (physics),Changed the direction of light when it bounced off a surface.
Science,Science,Refracted,Changed the direction (bending) of light when it passed through one transparent substance into another.
Science,Science,Relationship (science),A connection or association between ideas or between components of systems and structures.
Science,Science,Reliability (science),The extent to which repeated observations and/or measurements taken under identical circumstances will yield similar results.
Science,Science,Renewable energy resource,"A resource that is naturally replenished on a relatively short timescale (e.g. solar, wind, hydroelectric, tidal, biomass, geothermal sources such as hot springs, and hydrogen fuels)."
Science,Science,Repeatable investigation,An investigation that has similar results when repeated by the original researcher using the same method and equipment.
Science,Science,Repeat trial,A test within an experimental investigation that is carried out more than once under the same set of conditions by the same person/team.
Science,Science,Replicable data,"Data that can be produced again, similarly to the previous data, using the same method and equipment."
Science,Science,Representation (science),"The means by which science ideas and explanations are understood and communicated; representations can take many different forms or modes (e.g. diagrams, annotated sketches, cross-sectional drawings, tables, graphs, flow charts and other graphic organisers, models, symbols and texts used to communicate patterns, and quantitative and qualitative relationships)."
Science,Science,Reproducible investigation,An investigation that has similar results when repeated by other researchers using the same method and equipment.
Science,Science,Senses,"Systems used by organisms to gather and respond to information about their environments to aid their survival; each sense provides different information, which is combined with other sensory information and interpreted by the brain and nervous system. The 5 main senses are hearing, sight, smell, touch and taste. The dominant sense varies between different animals, as well as which is the most sensitive. In humans, the dominant sense is sight, and hearing is the most sensitive sense (due to the range of 'loudness' over which hearing operates)."
Science,Science,Simulation,"A representation of a process, event or system that imitates the real situation."
Science,Science,Socio-scientific issue,"A societal challenge that is both scientific and social in nature (e.g. climate change); it is authentic, consequential to society and often reported in the news."
Science,Science,Solution,"A homogeneous mixture in which one substance (the solute) is uniformly dissolved in another, for example salt water in which the salt is the solute and the water is the solvent."
Science,Science,Source of error,"A factor within the experimental method that causes the results to differ from the correct result; all of these types of errors (e.g. instrumental, environmental, procedural, methodological) can be either random or systematic."
Science,Science,Strength,"The state, property or quality of a material or object being physically strong and able to withstand or resist a significant amount of force or pressure without breaking."
Science,Science,Substance,"A specific type of matter with a uniform composition and properties. Pure substances can be elements (e.g. oxygen (O~2~) or gold (Au)) or compounds (e.g. water (H~2~O) and salt (NaCl)). Impure substances include homogeneous mixtures (such as solutions and alloys) and heterogeneous mixtures (such as suspensions, colloids and emulsions)."
Science,Science,Sustainable,Supporting present needs without compromising the ability of future generations to support their needs.
Science,Science,Synthesis (chemistry),"A type of chemical reaction in which 2 or more reactants combine to form a single product (also called a combination reaction). This type of reaction is represented by the general equation A + B → AB. Commonly, 2 different elements may combine to form a compound, or an element and a compound may react to form a new single compound."
Science,Science,System,"A set of things that are interconnected in ways that result in the generation of identifiable behavioural patterns over time, such as the solar system, an organ system or the Earth system (atmosphere, biosphere, hydrosphere, lithosphere)."
Science,Science,Technologies,"The knowledge and creative processes that assist people to use tools, resources and systems to solve problems and meet human needs and wants."
Science,Science,Theory,"A well-substantiated explanation that attempts to describe why a phenomenon occurs based on available evidence and confirmed, repeated observations over time. Theories provide accurate explanations and predictions for a wide range of phenomena and are widely accepted by the scientific community. Examples include atomic theory, the big bang theory, cell theory, plate tectonic theory and the theory of evolution by natural selection."
Science,Science,Theory of evolution by natural selection,"The theory that genetic mutations beneficial to an individual's survival are passed on through reproduction, resulting in a new generation of individuals that are more likely to survive to reproduce."
Science,Science,Theory of plate tectonics,"The theory that explains the movements and interactions of Earth's lithospheric plates, illustrating the dynamic processes that shape Earth's crust. The theory has 3 main components: plate movement, sea-floor spreading and subduction zones."
Science,Science,Traditional Owners,The people recognised as having an unbroken connection to a particular Aboriginal or Torres Strait Islander Country or Place. They are often important knowledge keepers and responsible for caring for Country or Place and the people who live there.
Science,Science,Transfer plate boundary,"A boundary that occurs when 2 tectonic plates slide past each other (e.g. the San Andreas Fault zone); earthquakes are common along these faults, with crust being cracked and broken at transform margins but not made or destroyed."
Science,Science,Transportation (geology),"The movement of sediments, soil and rocks across Earth's surface by water, wind, ice or gravity."
Science,Science,Trend,The general direction in which something is changing.
Science,Science,Uncertainty (science),The extent to which something is known; it is a measure of the variability of data.
Science,Science,Validity,"The extent to which a test measures what was intended; the extent to which data, inferences and actions produced from tests and other processes are accurate."
Science,Science,Variable,"A factor in an investigation that can be changed (independent), measured/observed (dependent) or kept the same (controlled), for example time, distance, light, temperature."
Science,Science,Wave model (physics),The model that describes a wave as a disturbance that travels through a medium from one location to another location.
Science,Science,Weathering,"The breaking down or dissolving of rocks, soils and minerals on Earth's surface without changing their location; this can occur through mechanical, chemical and biological processes."
Science,Science,Worldview,"A set of concepts, stories and/or beliefs about the nature of the world around us that inform our thinking, knowing, values and actions. These concepts, stories and/or beliefs can have a non-religious, religious and/or spiritual basis."
